SecteurActivité,TrancheEffectifs,Generation,Nombre d'entreprises actives,Nombre d'entreprises saines,Nombre de défaillances 3 mois,Nombre de défaillances 6 mois,Tauxdedéfaillances3mois,Taux de défaillances 6 mois,Nombre de créations dans les 3 mois,Code NACE,Score sectoriel,Classification,coronavirus,Valeur ajaoutée
Activités de services administratifs et de soutien,10 - 50 salariés,2016-12-31,10197,10197,20,36,0.0019613611846621554,0.00353045013239188,211,N77-82,4.2,PME,0,110185.0
Activités de services administratifs et de soutien,Plus de 200 salariés,2016-12-31,851,851,1,1,0.0011750881316098707,0.0011750881316098707,3,N77-82,4.2,GE,0,110185.0
Activités de services administratifs et de soutien,50 - 200 salariés,2016-12-31,2683,2683,1,2,0.0003727171077152441,0.0007454342154304882,23,N77-82,4.2,PME,0,110185.0
Activités de services administratifs et de soutien,3 - 10 salariés,2016-12-31,18632,18632,15,36,0.0008050665521683126,0.0019321597252039502,493,N77-82,4.2,TPE,0,110185.0
Activités de services administratifs et de soutien,Moins de 2 salariés,2016-12-31,439348,439348,451,869,0.0010265211176561633,0.001977930934020412,10670,N77-82,4.2,TPE,0,110185.0
Activités financières et d'assurance,10 - 50 salariés,2016-12-31,3774,3774,0,0,0.0,0.0,46,K64-66,5.8,PME,0,86041.0
Activités financières et d'assurance,Plus de 200 salariés,2016-12-31,468,468,0,1,0.0,0.002136752136752137,1,K64-66,5.8,GE,0,86041.0
Activités financières et d'assurance,50 - 200 salariés,2016-12-31,557,557,0,0,0.0,0.0,6,K64-66,5.8,PME,0,86041.0
Activités financières et d'assurance,3 - 10 salariés,2016-12-31,12346,12346,4,5,0.0003239915762190183,0.0004049894702737729,268,K64-66,5.8,TPE,0,86041.0
Activités financières et d'assurance,Moins de 2 salariés,2016-12-31,200813,200813,191,362,0.0009511336417463013,0.0018026721377600056,5527,K64-66,5.8,TPE,0,86041.0
Activités immobilières,10 - 50 salariés,2016-12-31,2747,2747,0,1,0.0,0.00036403349108117945,13,L68,4.0,PME,0,156514.0
Activités immobilières,Plus de 200 salariés,2016-12-31,183,183,0,0,0.0,0.0,0,L68,4.0,GE,0,156514.0
Activités immobilières,50 - 200 salariés,2016-12-31,500,500,0,0,0.0,0.0,2,L68,4.0,PME,0,156514.0
Activités immobilières,3 - 10 salariés,2016-12-31,9614,9614,7,10,0.0007281048470979821,0.001040149781568546,167,L68,4.0,TPE,0,156514.0
Activités immobilières,Moins de 2 salariés,2016-12-31,2150559,2150559,421,768,0.00019576305509404765,0.0003571164520480489,41422,L68,4.0,TPE,0,156514.0
"Activités spécialisées, scientifiques et techniques",10 - 50 salariés,2016-12-31,15952,15952,1,6,6.268806419257773e-05,0.00037612838515546637,215,M69-75,4.8,PME,0,156514.0
"Activités spécialisées, scientifiques et techniques",Plus de 200 salariés,2016-12-31,714,714,1,1,0.0014005602240896359,0.0014005602240896359,0,M69-75,4.8,GE,0,156514.0
